epoch,loss,lr,mse
0,18080.689453125,1e-04,18080.689453125
1,18077.494140625,1e-04,18077.494140625
2,18074.1484375,1e-04,18074.1484375
3,18070.583984375,1e-04,18070.583984375
4,18067.021484375,1e-04,18067.021484375
5,18063.560546875,1e-04,18063.560546875
6,18060.453125,1e-04,18060.453125
7,18057.6171875,1e-04,18057.6171875
8,18055.033203125,1e-04,18055.033203125
9,18052.669921875,1e-04,18052.669921875
10,18050.43359375,1e-04,18050.43359375
11,18048.31640625,1e-04,18048.3203125
12,18046.390625,1e-04,18046.390625
13,18044.57421875,1e-04,18044.57421875
14,18042.9140625,1e-04,18042.9140625
15,18041.357421875,1e-04,18041.357421875
16,18039.97265625,1e-04,18039.970703125
17,18038.68359375,1e-04,18038.68359375
18,18037.55859375,1e-04,18037.55859375
19,18036.4921875,1e-04,18036.4921875
20,18035.59765625,1e-04,18035.59765625
21,18034.712890625,1e-04,18034.712890625
22,18033.859375,1e-04,18033.859375
23,18033.1171875,1e-04,18033.1171875
24,18032.439453125,1e-04,18032.439453125
25,18031.802734375,1e-04,18031.802734375
26,18031.201171875,1e-04,18031.201171875
27,18030.6171875,1e-04,18030.6171875
28,18030.099609375,1e-04,18030.099609375
