image,mask
/home/kiran_shahi/dissertation/dataset/image/0161/00000.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00000.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00001.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00001.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00002.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00002.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00003.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00003.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00004.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00004.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00005.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00005.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00006.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00006.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00007.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00007.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00008.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00008.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00009.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00009.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00010.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00010.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00011.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00011.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00012.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00012.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00013.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00013.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00014.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00014.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00015.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00015.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00016.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00016.jpg
/home/kiran_shahi/dissertation/dataset/image/0161/00017.jpg,/home/kiran_shahi/dissertation/dataset/alpha/0161/00017.jpg
