epoch,dice_coef,loss,lr,mad,mean_io_u,mean_squared_error,val_dice_coef,val_loss,val_mad,val_mean_io_u,val_mean_squared_error
0,0.8363407850265503,0.16365866363048553,1e-04,0.0773339495062828,0.6849534511566162,0.07299073040485382,0.8084406852722168,0.19155944883823395,0.05660942569375038,0.7389708757400513,0.05386986956000328
1,0.8911867737770081,0.10881275683641434,1e-04,0.04997054859995842,0.6834703087806702,0.04628978297114372,0.8408141136169434,0.1591857224702835,0.051578301936388016,0.7794523239135742,0.0487452931702137
2,0.9034720659255981,0.09652720391750336,1e-04,0.044225797057151794,0.7121433019638062,0.04087544232606888,0.7443636059761047,0.25563615560531616,0.09259586036205292,0.7388505339622498,0.08914412558078766
3,0.910643458366394,0.08935648202896118,1e-04,0.04085392504930496,0.7397057414054871,0.03770662844181061,0.8786908388137817,0.12130921334028244,0.036526329815387726,0.817781388759613,0.034293033182621
4,0.9144637584686279,0.08553537726402283,1e-04,0.03908324986696243,0.754803478717804,0.03605067729949951,0.8885522484779358,0.11144748330116272,0.03393011540174484,0.8235419988632202,0.03161894902586937
5,0.922034502029419,0.07796552032232285,1e-04,0.035445064306259155,0.7687572240829468,0.0324898399412632,0.8811842799186707,0.118815578520298,0.035243283957242966,0.8279054760932922,0.03310824930667877
6,0.9241256713867188,0.07587508857250214,1e-04,0.03450758755207062,0.7915713787078857,0.031613729894161224,0.8796598315238953,0.1203405037522316,0.03601476550102234,0.8259717226028442,0.03385214880108833
7,0.9279491901397705,0.07205160707235336,1e-04,0.03282671421766281,0.8157932162284851,0.02998928166925907,0.8796934485435486,0.12030649185180664,0.03734578192234039,0.8334384560585022,0.03509790450334549
8,0.928024411201477,0.07197435200214386,1e-04,0.032709404826164246,0.8280954360961914,0.029904348775744438,0.8492948412895203,0.15070511400699615,0.04855044558644295,0.8270994424819946,0.04611509293317795
9,0.9323793053627014,0.06762013584375381,1e-04,0.030729826539754868,0.8425517678260803,0.027975499629974365,0.7518126964569092,0.24818727374076843,0.08745100349187851,0.7673581838607788,0.08470717817544937
10,0.9421465992927551,0.05785328149795532,1e-05,0.025974737480282784,0.8568450212478638,0.023291604593396187,0.9085022211074829,0.0914977639913559,0.027795953676104546,0.8681176900863647,0.025752687826752663
11,0.9441779851913452,0.0558224618434906,1e-05,0.025098925456404686,0.8600391149520874,0.02243873104453087,0.9109077453613281,0.0890924260020256,0.02715306356549263,0.8718903064727783,0.02511417306959629
12,0.944945752620697,0.055054403841495514,1e-05,0.02467983029782772,0.861577570438385,0.022028634324669838,0.9108359813690186,0.0891643762588501,0.02695636823773384,0.8713215589523315,0.024926483631134033
